"id","date","gender","age","language","taskOrder","optionOrder","taskNr","trial","stimulus","response","RT","correct"
92,"2017_Feb_09_1515","female","18","English","[1, 2, 3, 4, 5]","['yes', 'no']",3,2,"mndgz","mndgz",2502.08556349,1
92,"2017_Feb_09_1515","female","18","English","[1, 2, 3, 4, 5]","['yes', 'no']",3,3,"hfkvnd","hfkdvf",5304.19208109,0
92,"2017_Feb_09_1515","female","18","English","[1, 2, 3, 4, 5]","['yes', 'no']",3,4,"bfdmvns","bf",4603.81505173,0
93,"2017_Feb_09_1515","female","19","English","[2, 1, 4, 3, 5]","['yes', 'no']",1,1,"vkdr","vkdr",2985.80492288,1
93,"2017_Feb_09_1515","female","19","English","[2, 1, 4, 3, 5]","['yes', 'no']",1,2,"twlgn","twlgn",2652.23629773,1
93,"2017_Feb_09_1515","female","19","English","[2, 1, 4, 3, 5]","['yes', 'no']",1,3,"rwvhcl","rwvhcl",4353.53301838,1
93,"2017_Feb_09_1515","female","19","English","[2, 1, 4, 3, 5]","['yes', 'no']",1,4,"jgwkhmx","jgwkhmx",5304.2279901,1
93,"2017_Feb_09_1515","female","19","English","[2, 1, 4, 3, 5]","['yes', 'no']",2,1,"rwxv","rwxv",3652.98066102,1
93,"2017_Feb_09_1515","female","19","English","[2, 1, 4, 3, 5]","['yes', 'no']",2,2,"gvnrd","gvnrd",4770.46407992,1
93,"2017_Feb_09_1515","female","19","English","[2, 1, 4, 3, 5]","['yes', 'no']",2,3,"nsvfdj","nsvmdj",12960.039285,0
93,"2017_Feb_09_1515","female","19","English","[2, 1, 4, 3, 5]","['yes', 'no']",2,4,"rgnvbxl","rvnxvgl",8206.42701257,0
93,"2017_Feb_09_1515","female","19","English","[2, 1, 4, 3, 5]","['yes', 'no']",3,1,"hnlr","hnlr",2552.16659373,1
93,"2017_Feb_09_1515","female","19","English","[2, 1, 4, 3, 5]","['yes', 'no']",3,2,"mxdgh","mxdgh",2885.78396896,1
